Continent;Year;Age;Value
Africa;1995;20-29;88.50882244275084
Africa;1995;30-39;83.0925252632196
Africa;1995;40-49;77.54648048610818
Africa;1995;50-59;84.13228166594132
Africa;1995;60-69;111.3577267866682
Africa;1995;70-79;119.37504324464606
Africa;1995;80-89;67.61407320817023
Africa;1995;90+;11.070398929027437
Africa;1996;0-9;614.7441929905191
Africa;1996;10-19;73.51508591851884
Africa;1996;20-29;90.08899634520323
Africa;1996;30-39;85.13436591457265
Africa;1996;40-49;79.2244075921265
Africa;1996;50-59;84.38860167150156
Africa;1996;60-69;110.93172700042922
Africa;1996;70-79;118.76584300069418
Africa;1996;80-89;67.81806846674601
Africa;1996;90+;11.31688845911321
Africa;1997;0-9;598.8412548629146
Africa;1997;10-19;73.709349203407
Africa;1997;20-29;93.08883989015092
Africa;1997;30-39;87.98053919188247
Africa;1997;40-49;81.29355014876563
Africa;1997;50-59;84.97790934162097
Africa;1997;60-69;110.73533881354027
Africa;1997;70-79;118.37693607449225
Africa;1997;80-89;67.22171389314902
Africa;1997;90+;11.678692108765809
Africa;1998;0-9;605.1486431332944
Africa;1998;10-19;79.35038937170442
Africa;1998;20-29;102.3342389939763
Africa;1998;30-39;95.80275268335207
Africa;1998;40-49;87.02273571957771
Africa;1998;50-59;88.33284855070112
Africa;1998;60-69;112.2757550630217
Africa;1998;70-79;118.68342254645027
Africa;1998;80-89;66.46883815185217
Africa;1998;90+;11.640192665886138
Africa;1999;0-9;556.4001073163518
Africa;1999;10-19;70.4159452732381
Africa;1999;20-29;96.91747908526335
Africa;1999;30-39;92.5520988138492
Africa;1999;40-49;84.93540706738621
Africa;1999;50-59;86.11506045917089
Africa;1999;60-69;109.37287128812763
Africa;1999;70-79;116.70552097228628
Africa;1999;80-89;66.57980727569173
Africa;1999;90+;11.916844641336224
Africa;2000;0-9;534.3668403754767
Africa;2000;10-19;66.94005730909961
Africa;2000;20-29;90.23058593408707
Africa;2000;30-39;89.76339340457255
Africa;2000;40-49;83.64326404413234
Africa;2000;50-59;86.22038596922454
Africa;2000;60-69;108.05086902793789
Africa;2000;70-79;115.95276960736004
Africa;2000;80-89;67.48144618046821
Africa;2000;90+;12.324209555837513
Africa;2001;0-9;511.83346912886014
Africa;2001;10-19;65.55905910751358
Africa;2001;20-29;91.27667566514597
Africa;2001;30-39;92.04500239966002
Africa;2001;40-49;85.46001625607241
Africa;2001;50-59;86.80552142858501
Africa;2001;60-69;107.42696615813622
Africa;2001;70-79;115.76131665410568
Africa;2001;80-89;67.75046708193905
Africa;2001;90+;12.952729128917285
Africa;2002;0-9;490.4390199635616
Africa;2002;10-19;63.87945761454877
Africa;2002;20-29;90.14477832382023
Africa;2002;30-39;91.67813300552046
Africa;2002;40-49;85.5128065777389
Africa;2002;50-59;86.99979525357296
Africa;2002;60-69;106.56853788071157
Africa;2002;70-79;114.94018795449719
Africa;2002;80-89;68.90518009784594
Africa;2002;90+;12.393132258315791
Africa;2003;0-9;468.1393422960187
Africa;2003;10-19;61.57309908358498
Africa;2003;20-29;89.61335950987578
Africa;2003;30-39;92.09557895153355
Africa;2003;40-49;85.97982978643195
Africa;2003;50-59;86.95070280424413
Africa;2003;60-69;105.5284451221001
Africa;2003;70-79;114.01311333571681
Africa;2003;80-89;69.49128822732584
Africa;2003;90+;12.718462053746087
Africa;2004;0-9;446.8678770280279
Africa;2004;10-19;59.62563181789994
